Iteration, Minimum cost
100, 92
200, 88
300, 86
400, 84
500, 84
600, 84
700, 84
800, 84
900, 84
1000, 84
1100, 84
1200, 84
1300, 84
1400, 82
1500, 80
1600, 80
1700, 80
1800, 78
1900, 78
2000, 78
2100, 78
2200, 78
2300, 76
2400, 76
2500, 76
2600, 74
2700, 74
2800, 74
2900, 74
3000, 74
3100, 72
3200, 72
3300, 72
3400, 72
3500, 70
3600, 70
3700, 70
3800, 70
3900, 70
4000, 70
4100, 70
4200, 70
4300, 70
4400, 70
4500, 70
4600, 70
4700, 70
4800, 70
4900, 70
5000, 70
5100, 70
5200, 70
5300, 70
5400, 70
5500, 70
5600, 70
5700, 70
5800, 70
5900, 70
6000, 70
6100, 70
6200, 70
6300, 70
6400, 70
6500, 68
6600, 68
6700, 68
6800, 68
6900, 68
7000, 68
7100, 68
7200, 68
7300, 68
7400, 68
7500, 68
7600, 68
7700, 68
7800, 68
7900, 67
8000, 67
8100, 67
8200, 67
8300, 67
8400, 67
8500, 67
8600, 67
8700, 67
8800, 67
8900, 67
9000, 67
9100, 67
9200, 67
9300, 67
9400, 67
9500, 67
9600, 67
9700, 67
9800, 67
9900, 67
10000, 67
10100, 67
10200, 67
10300, 67
10400, 67
10500, 67
10600, 65
10700, 65
10800, 65
10900, 65
11000, 65
11100, 65
11200, 65
11300, 65
11400, 65
11500, 65
11600, 65
11700, 65
11800, 65
11900, 65
12000, 65
12100, 65
12200, 65
12300, 65
12400, 64
12500, 64
12600, 64
12700, 64
12800, 64
12900, 64
13000, 64
13100, 64
13200, 64
13300, 64
13400, 64
13500, 64
13600, 64
13700, 64
13800, 64
13900, 64
14000, 64
14100, 64
14200, 63
14300, 63
14400, 63
14500, 63
14600, 63
14700, 63
14800, 63
14900, 63
15000, 63
15100, 63
15200, 63
15300, 63
15400, 61
15500, 61
15600, 61
15700, 61
15800, 61
15900, 59
16000, 57
16100, 57
16200, 57
16300, 57
16400, 57
16500, 57
16600, 57
16700, 57
16800, 57
16900, 57
17000, 57
17100, 57
17200, 57
17300, 57
17400, 57
17500, 57
17600, 57
17700, 57
17800, 57
17900, 57
18000, 57
18100, 57
18200, 57
18300, 57
18400, 57
18500, 57
18600, 57
18700, 57
18800, 57
18900, 57
19000, 57
19100, 57
19200, 57
19300, 57
19400, 57
19500, 57
19600, 57
19700, 57
19800, 57
